subject,condition,l_length,pres_rate,prim_pfr,rec_pfr,strat
A10HW8JXM17XLD,10-2,10.0,2000.0,0.08333333333333333,0.8958333333333334,rec
A12K1ADYMRSWMJ,10-2,10.0,2000.0,0.9500000000000001,0.05,prim
A14E4ISXVJVY6F,10-2,10.0,2000.0,1.0,0.0,prim
A169XTOCOMO1MV,10-2,10.0,2000.0,0.576388888888889,0.39236111111111116,ns
A18NXRDHQ0ZSOY,10-2,10.0,2000.0,0.4,0.39285714285714285,ns
A1969Q0R4Y0E3J,10-2,10.0,2000.0,0.1143939393939394,0.8231060606060606,rec
A1AKL5YH9NLD2V,10-2,10.0,2000.0,0.125,0.3125,ns
A1ARWNTZHGFG8Y,10-2,10.0,2000.0,0.7449494949494949,0.22727272727272727,prim
A1F0R1MSPTXHHV,10-2,10.0,2000.0,0.6170634920634921,0.3194444444444444,ns
A1GRPIBHW72HDU,10-2,10.0,2000.0,0.0,1.0,rec
A1I9RLJQ0BYN21,10-2,10.0,2000.0,0.821969696969697,0.17803030303030304,prim
A1NG504QI5LI62,10-2,10.0,2000.0,1.0,0.0,prim
A1NQ2A0UDW719R,10-2,10.0,2000.0,0.9999999999999999,0.0,prim
A1P00XZZG7EEEM,10-2,10.0,2000.0,0.8333333333333334,0.05555555555555555,prim
A1RFDB2WUV7QRO,10-2,10.0,2000.0,0.4166666666666667,0.45833333333333337,ns
A1V2H0UF94ATWY,10-2,10.0,2000.0,0.0625,0.8503787878787878,rec
A1W7T8V97ZPUH0,10-2,10.0,2000.0,0.7187499999999999,0.16666666666666666,prim
A1WJIRT360P5VB,10-2,10.0,2000.0,0.0,1.0,rec
A1WPGNK8Y65BV3,10-2,10.0,2000.0,0.32386363636363635,0.6325757575757576,ns
A1XMGLCK09Z0DW,10-2,10.0,2000.0,0.5377435064935064,0.29139610389610393,ns
A1YA2FCN3KEK36,10-2,10.0,2000.0,1.0,0.0,prim
A20GD3EBBTBYY2,10-2,10.0,2000.0,0.21944444444444447,0.7805555555555554,rec
A24BRTWG07T53Z,10-2,10.0,2000.0,0.9090909090909093,0.09090909090909091,prim
A27QXQ22F9ODSP,10-2,10.0,2000.0,0.8972222222222223,0.10277777777777777,prim
A27T2Z568L69U1,10-2,10.0,2000.0,0.9375,0.03125,prim
A282UM3NAIM0YO,10-2,10.0,2000.0,0.34305555555555556,0.6569444444444444,ns
A2BREH6STESM0G,10-2,10.0,2000.0,0.2652777777777778,0.6847222222222222,rec
A2FLBMZ38IZ2SQ,10-2,10.0,2000.0,0.9722222222222223,0.027777777777777776,prim
A2FM1N5AOMVTGL,10-2,10.0,2000.0,0.7083333333333333,0.2916666666666667,prim
A2FYFCD16Z3PCC,10-2,10.0,2000.0,0.0,0.9166666666666666,rec
A2H8PEGI28NKZD,10-2,10.0,2000.0,0.5587121212121212,0.3996212121212121,ns
A2I6ZALE49CVSC,10-2,10.0,2000.0,0.8333333333333334,0.16666666666666666,prim
A2KPEUCEE2M05G,10-2,10.0,2000.0,0.875,0.125,prim
A2LJ1FRUYGW469,10-2,10.0,2000.0,0.41818181818181815,0.5818181818181818,ns
A2M183CETUMR96,10-2,10.0,2000.0,0.020833333333333332,0.9375,rec
A2MUOD1JHWJ735,10-2,10.0,2000.0,0.020833333333333332,0.46022727272727265,ns
A2NXMRPHG86N2T,10-2,10.0,2000.0,0.22916666666666663,0.5,ns
A2PQDK3MLDFXYM,10-2,10.0,2000.0,0.0,1.0,rec
A2QRJKXTK4JDD8,10-2,10.0,2000.0,0.39375,0.60625,ns
A2R970Q1Q2A6DJ,10-2,10.0,2000.0,0.9642857142857142,0.03571428571428571,prim
A2VIKZ73Y5ABHM,10-2,10.0,2000.0,0.4181818181818182,0.531818181818182,ns
A2WYZLG8J526TQ,10-2,10.0,2000.0,0.8500000000000001,0.15000000000000002,prim
A33X52IN60MSOE,10-2,10.0,2000.0,0.125,0.875,rec
A348NEQKS6VNIB,10-2,10.0,2000.0,0.10984848484848485,0.8465909090909092,rec
A349BBTU7L597J,10-2,10.0,2000.0,0.6875,0.28125,prim
A3C8JI69WPTKWH,10-2,10.0,2000.0,0.020833333333333332,0.9375,rec
A3CE7DTHIB76UK,10-2,10.0,2000.0,0.6148809523809524,0.2869047619047619,ns
A3G55RJTW3BSGM,10-2,10.0,2000.0,0.2140151515151515,0.6363636363636365,ns
A3GC5Q5CLI4NWZ,10-2,10.0,2000.0,1.0,0.0,prim
A3J55BJGV95JKH,10-2,10.0,2000.0,0.1268939393939394,0.3477272727272728,ns
A3MJQ51KN9CMQ4,10-2,10.0,2000.0,0.8153409090909092,0.1846590909090909,prim
A3MOL1L9V4BUGH,10-2,10.0,2000.0,0.38125,0.59375,ns
A3NAONPCTVT6P1,10-2,10.0,2000.0,0.275,0.6722222222222222,rec
A3PJY7THMUIR4M,10-2,10.0,2000.0,0.38047138047138046,0.5892255892255892,ns
A3VV3MW68CALXS,10-2,10.0,2000.0,1.0,0.0,prim
A489K1IFOM4JW,10-2,10.0,2000.0,1.0,0.0,prim
A49HPQ9P5AHU4,10-2,10.0,2000.0,0.0,0.7500000000000001,rec
A55MEA9LQASZH,10-2,10.0,2000.0,0.12916666666666668,0.8395833333333333,rec
A5P12YJP805RG,10-2,10.0,2000.0,0.12878787878787878,0.7234848484848485,rec
A5TWD5QD99GZY,10-2,10.0,2000.0,0.10416666666666666,0.7916666666666666,rec
A63UHNWYOV5LE,10-2,10.0,2000.0,0.5844155844155844,0.27705627705627706,ns
AEP8U373W5Q54,10-2,10.0,2000.0,1.0,0.0,prim
AK2PMO5I7OCEK,10-2,10.0,2000.0,1.0,0.0,prim
AKNU5D6QK7M72,10-2,10.0,2000.0,1.0,0.0,prim
AO5FQ7GY8DTR8,10-2,10.0,2000.0,1.0,0.0,prim
ARIWYNIH12MLF,10-2,10.0,2000.0,0.1611111111111111,0.8388888888888889,rec
AS4FVWL91C6HR,10-2,10.0,2000.0,0.7545454545454545,0.24545454545454548,prim
AWJKR5GA7BS7V,10-2,10.0,2000.0,0.53125,0.46875,ns
AZ69TBTDH7AZS,10-2,10.0,2000.0,0.0,0.9791666666666666,rec
AZ8NNCT4AODDN,10-2,10.0,2000.0,0.8125,0.1875,prim
A10JXOU89D5RXR,20-1,20.0,1000.0,0.13068181818181818,0.6534090909090909,ns
A111FTKAAJ5UMC,20-1,20.0,1000.0,1.0,0.0,prim
A11EZAV2HRYKD5,20-1,20.0,1000.0,1.0,0.0,prim
A157L6Z8QU3SDE,20-1,20.0,1000.0,0.020833333333333332,0.8958333333333334,rec
A16GIPTDMJAFTK,20-1,20.0,1000.0,0.4484848484848485,0.5515151515151515,ns
A17R7WX5B0CKK6,20-1,20.0,1000.0,0.025,0.9194444444444445,rec
A17WB66BXX4R0J,20-1,20.0,1000.0,1.0,0.0,prim
A19QRXLWV5GKXN,20-1,20.0,1000.0,0.11458333333333333,0.7566287878787878,rec
A1CKIYN01NV9GJ,20-1,20.0,1000.0,0.125,0.375,ns
A1HLDOM6JTYYI2,20-1,20.0,1000.0,0.8446969696969696,0.10984848484848486,prim
A1HR8IRDC07FO9,20-1,20.0,1000.0,0.75,0.25000000000000006,prim
A1J6CZ176U6GDT,20-1,20.0,1000.0,0.025,0.9750000000000001,rec
A1J9VZ372FV2QZ,20-1,20.0,1000.0,0.10833333333333334,0.7388888888888888,rec
A1JI19KPIVNL3Y,20-1,20.0,1000.0,0.4791666666666666,0.4791666666666667,ns
A1KH9VI2D0V43B,20-1,20.0,1000.0,1.0,0.0,prim
A1LJ4WAEDGELVL,20-1,20.0,1000.0,0.0,1.0,rec
A1OOCYEFLAJD98,20-1,20.0,1000.0,0.0,0.21590909090909088,ns
A1OW27AZS122X2,20-1,20.0,1000.0,0.19545454545454546,0.6503787878787879,ns
A1R5JNC2LO6X1S,20-1,20.0,1000.0,0.9583333333333334,0.041666666666666664,prim
A1SUTNVLSFPXFK,20-1,20.0,1000.0,0.47500000000000003,0.5,ns
A1V91Z2CQKMR55,20-1,20.0,1000.0,0.0,0.8257575757575758,rec
A1YFL5HXPZ7MVV,20-1,20.0,1000.0,0.17500000000000002,0.5944444444444444,ns
A22UMPYYQBXT0F,20-1,20.0,1000.0,0.1268939393939394,0.8314393939393939,rec
A26M997VYVK0E6,20-1,20.0,1000.0,0.9791666666666666,0.0,prim
A277V4SHQB8JRS,20-1,20.0,1000.0,0.0,0.8314393939393938,rec
A2E5PV1BHNG67N,20-1,20.0,1000.0,0.5071428571428571,0.49285714285714277,ns
A2FQVRBXJZQAWT,20-1,20.0,1000.0,1.0,0.0,prim
A2GM1ZIBRBHBK7,20-1,20.0,1000.0,0.6275252525252524,0.12095959595959596,ns
A2ONILC0LZKG6Y,20-1,20.0,1000.0,0.020833333333333332,0.9791666666666666,rec
A2QX1SJXQN1NV1,20-1,20.0,1000.0,0.6875,0.1875,prim
A2QY653X9531JP,20-1,20.0,1000.0,0.16458333333333333,0.5951388888888889,ns
A2RBF3IIJP15IH,20-1,20.0,1000.0,0.025,0.6992424242424242,rec
A2RWLFIP23FZA7,20-1,20.0,1000.0,0.7545454545454546,0.19545454545454546,prim
A2SBZCFAVT83GN,20-1,20.0,1000.0,0.0,0.9722222222222222,rec
A2SQGKP2REXOTN,20-1,20.0,1000.0,0.9696969696969697,0.030303030303030304,prim
A2SQTRNQWDLU4F,20-1,20.0,1000.0,0.6000000000000001,0.1,ns
A2SWQM5X54P1O5,20-1,20.0,1000.0,0.0,0.6193181818181818,ns
A2TG5ESEOPXAHI,20-1,20.0,1000.0,0.9642857142857142,0.0,prim
A2V6E7SGEU0EFD,20-1,20.0,1000.0,0.0,0.625,ns
A2VXT33Y2TQPOQ,20-1,20.0,1000.0,0.9460227272727273,0.022727272727272728,prim
A2XDWB9NVYI3LQ,20-1,20.0,1000.0,0.06439393939393939,0.8295454545454545,rec
A3026HLELYNW7U,20-1,20.0,1000.0,0.050505050505050504,0.8682449494949496,rec
A351P2O6QGTCS,20-1,20.0,1000.0,0.0,1.0,rec
A39R5EBK7W916X,20-1,20.0,1000.0,0.6458333333333333,0.14583333333333331,ns
A3D9PJ37U7LCHE,20-1,20.0,1000.0,0.5650252525252526,0.2032828282828283,ns
A3EVXSWHYA1PTT,20-1,20.0,1000.0,0.08712121212121213,0.9128787878787878,rec
A3GIUDSA1IGTFV,20-1,20.0,1000.0,0.5,0.4296296296296296,ns
A3HXK0UGS1YDMC,20-1,20.0,1000.0,0.859090909090909,0.09318181818181819,prim
A3ITZNJQUTIZ4C,20-1,20.0,1000.0,0.0,0.9166666666666667,rec
A3MHP4LZ3V88NF,20-1,20.0,1000.0,0.904040404040404,0.045454545454545456,prim
A3NRIEMOJVVX4A,20-1,20.0,1000.0,0.06818181818181818,0.8674242424242423,rec
A3PEV3KN6F7JRG,20-1,20.0,1000.0,0.4292929292929293,0.2676767676767677,ns
A3QKOYP52HYRH2,20-1,20.0,1000.0,0.17351190476190476,0.7300595238095238,rec
A3RFOODI4G4P4K,20-1,20.0,1000.0,0.020833333333333332,0.9791666666666666,rec
A3RHJEMZ4EGY2U,20-1,20.0,1000.0,0.020833333333333332,0.8333333333333333,rec
A3S76P3L3USWI1,20-1,20.0,1000.0,0.8774801587301587,0.06349206349206349,prim
A3USPFFWN1G5PF,20-1,20.0,1000.0,0.05,0.8351010101010101,rec
A50UY1556VDIA,20-1,20.0,1000.0,0.4908459595959596,0.30902777777777773,ns
A7R1OLLU1Z6RA,20-1,20.0,1000.0,0.0,0.8920454545454546,rec
AC7CDW53I98JT,20-1,20.0,1000.0,0.725,0.275,prim
AEJU0MCYOQC77,20-1,20.0,1000.0,0.7592592592592592,0.10185185185185185,prim
AHU3EE2Q05E18,20-1,20.0,1000.0,0.9772727272727272,0.0,prim
AJD90361AJO80,20-1,20.0,1000.0,0.2616161616161616,0.5901515151515151,ns
AK52RXEJKR81A,20-1,20.0,1000.0,0.48484848484848486,0.45959595959595956,ns
AMJAZPJBO936R,20-1,20.0,1000.0,0.7837121212121213,0.12878787878787878,prim
AOQZVAH5FSKGE,20-1,20.0,1000.0,0.9409722222222223,0.0,prim
AQCJI23U1VBYD,20-1,20.0,1000.0,0.90625,0.0,prim
AQPFTUIJ0PW2N,20-1,20.0,1000.0,0.7916666666666666,0.0,prim
AXFCUZ1WQC2WY,20-1,20.0,1000.0,0.6186868686868687,0.2954545454545454,ns
AY7M9MOLNXIIK,20-1,20.0,1000.0,0.6287878787878789,0.32575757575757575,ns
AZZA3J049G7R5,20-1,20.0,1000.0,0.19444444444444442,0.7222222222222222,rec
A102RSV009OCUW,15-2,15.0,2000.0,0.9545454545454546,0.045454545454545456,prim
A11BHGAKU0RIH8,15-2,15.0,2000.0,0.23333333333333334,0.6666666666666667,rec
A13GBA16BNTN1A,15-2,15.0,2000.0,0.0,0.9750000000000001,rec
A13THDIE8LTQ11,15-2,15.0,2000.0,0.26085858585858585,0.6446969696969698,ns
A150QX2OXHGK8P,15-2,15.0,2000.0,0.24059343434343436,0.7344065656565656,rec
A151XA53WYXVD7,15-2,15.0,2000.0,0.8854166666666666,0.11458333333333333,prim
A1618RA11ZOD8Y,15-2,15.0,2000.0,0.16666666666666666,0.6666666666666666,rec
A19X8IA9EKC3XH,15-2,15.0,2000.0,0.041666666666666664,0.15568181818181817,ns
A1CFMY4CEYOM8Y,15-2,15.0,2000.0,0.06628787878787878,0.8011363636363638,rec
A1E0K2VGY2684V,15-2,15.0,2000.0,0.5873376623376623,0.3314935064935065,ns
A1NQOR4RQJJDMW,15-2,15.0,2000.0,0.4791666666666667,0.4583333333333333,ns
